experimento,modelo,C,class_weight,accuracy,precision,recall,f1_score,roc_auc
E2,LogisticRegression,0.1,None,0.895,0.8914285714285715,0.9873417721518988,0.9369369369369369,0.9591621458710067
E3,LogisticRegression,10.0,None,0.9,0.9058823529411765,0.9746835443037974,0.9390243902439024,0.9581072935503315
E4,LogisticRegression,1.0,balanced,0.91,0.9605263157894737,0.9240506329113924,0.9419354838709677,0.9591621458710067
